"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "CSS", "YAML", "Batch", "comment", "blank", "total"
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\New_.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 9, 8, 41
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\NullsafeMethodCall.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 11, 8, 46
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\NullsafePropertyFetch.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 9, 7, 36
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PostDec.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PostInc.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PreDec.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PreInc.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Print_.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PropertyFetch.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 9, 7, 36
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\ShellExec.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 7, 7, 31
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\StaticCall.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 11, 8, 46
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\StaticPropertyFetch.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 9, 7, 37
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Ternary.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 11, 7, 38
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Throw_.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
"d:\Projects\Websites\befikr\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\UnaryMinus.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 7, 7, 30
